Taxa, voucher information and character sampling. + or Genbank number indicate sampling; - indicates no sampling; Genbank information not presented are novel and will be included pending acceptance;;;;;;
Taxon and voucher info;Infrageneric;morphology;trnlf;trndt;matk;its;;
Mimosa velloziana velloziana Simon MF 721;ser. Mimosa -;+;-;FJ982218;+;+;;
Mimosa verecunda Simon MF 749;subser. Pudicae;-;+;FJ982220;+;+;;
Mimosa vernicosa ciliata Simon MF 2439;ser. Pachycarpae;+;-;MT459636;-;-;;
Mimosa vestita Simon MF 769;ser. Hirsutae;-;+;FJ982222;+;+;;
Mimosa viperina Borges LM 940;ser. Pachycarpae;+;+;MT459638;+;+;;
Mimosa weberbaueri Hugues CE 2043;ser. Andinae;-;-;FJ982229;-;-;;
Mimosa xanthocentra subsericea Hugues CE 2403;subser. Pudicae;-;+;FJ982232;+;+;;
Anadenanthera colubrina Hugues CE 2308;;-;+;FJ981975;+;+;;
Piptadenia viridiflora Hugues CE 1681;;-;+;FJ982243;+;+;;
Stryphnodendron adstringens Scalon VR 260;;-;-;KT364188;+;+;;
